Time,Labeling
256.25,2
256.2667,2
256.2833,2
256.3,2
256.3167,2
256.3333,2
256.35,2
256.3667,2
256.3833,2
256.4,2
256.4167,2
256.4333,2
256.45,2
256.4667,2
256.4833,2
256.5,2
256.5167,2
256.5333,2
256.55,2
256.5667,2
256.5833,2
256.6,2
256.6167,2
256.6333,2
256.65,2
256.6667,2
256.6833,2
256.7,2
256.7167,2
256.7333,2
256.75,2
256.7667,2
256.7833,2
256.8,2
256.8167,2
256.8333,2
256.85,2
256.8667,2
256.8833,2
256.9,2
256.9167,2
256.9333,2
256.95,2
256.9667,2
256.9833,2
257,2
257.0167,2
257.0333,2
257.05,2
257.0667,2
257.0833,2
257.1,2
257.1167,2
257.1333,2
257.15,2
257.1667,2
257.1833,2
257.2,2
257.2167,2
257.2333,2
257.25,2
257.2667,2
257.2833,2
257.3,2
257.3167,2
257.3333,2
257.35,2
257.3667,2
257.3833,2
257.4,2
257.4167,2
257.4333,2
257.45,2
257.4667,2
257.4833,2
257.5,2
257.5167,2
257.5333,2
257.55,2
257.5667,2
257.5833,2
257.6,2
257.6167,2
257.6333,2
257.65,2
257.6667,2
257.6833,2
257.7,2
257.7167,2
257.7333,2
257.75,2
257.7667,2
257.7833,2
257.8,2
257.8167,2
257.8333,2
257.85,2
257.8667,2
257.8833,2
257.9,2
257.9167,2
257.9333,2
257.95,2
257.9667,2
257.9833,2
258,2
258.0167,2
258.0333,2
258.05,2
258.0667,2
258.0833,2
258.1,2
258.1167,2
258.1333,2
258.15,2
258.1667,2
258.1833,2
258.2,2
258.2167,2
258.2333,2
258.25,2
258.2667,2
258.2833,2
258.3,2
258.3167,2
258.3333,2
258.35,2
258.3667,2
258.3833,2
258.4,2
258.4167,2
258.4333,2
258.45,2
258.4667,2
258.4833,2
258.5,2
258.5167,2
258.5333,2
258.55,2
258.5667,2
258.5833,2
258.6,2
258.6167,2
258.6333,2
258.65,2
258.6667,2
258.6833,2
258.7,2
258.7167,2
258.7333,2
258.75,2
258.7667,2
258.7833,2
258.8,2
258.8167,2
258.8333,2
258.85,2
258.8667,2
258.8833,2
258.9,2
258.9167,2
258.9333,2
258.95,2
258.9667,2
258.9833,2
259,2
259.0167,2
259.0333,2
259.05,2
259.0667,2
259.0833,2
259.1,2
259.1167,2
259.1333,2
259.15,2
259.1667,2
259.1833,2
259.2,2
259.2167,2
259.2333,2
259.25,2
259.2667,2
259.2833,2
259.3,2
259.3167,2
259.3333,2
259.35,2
259.3667,2
259.3833,2
259.4,2
259.4167,2
259.4333,2
259.45,2
259.4667,2
259.4833,2
259.5,2
259.5167,2
259.5333,2
259.55,2
259.5667,2
259.5833,2
259.6,2
259.6167,2
259.6333,2
259.65,2
259.6667,2
259.6833,2
259.7,2
259.7167,2
259.7333,2
259.75,2
259.7667,2
259.7833,2
259.8,2
259.8167,2
259.8333,2
259.85,2
259.8667,2
259.8833,2
259.9,2
259.9167,2
259.9333,2
259.95,2
259.9667,2
259.9833,2
260,2
260.0167,2
260.0333,2
260.05,2
260.0667,2
260.0833,2
260.1,2
260.1167,2
260.1333,2
260.15,2
260.1667,2
260.1833,2
260.2,2
260.2167,2
260.2333,2
260.25,2
260.2667,2
260.2833,2
260.3,2
260.3167,2
260.3333,2
260.35,2
260.3667,2
260.3833,2
260.4,2
260.4167,2
260.4333,2
260.45,2
260.4667,2
260.4833,2
260.5,2
260.5167,2
260.5333,2
260.55,2
260.5667,2
260.5833,2
260.6,2
260.6167,2
260.6333,2
260.65,2
260.6667,2
260.6833,2
260.7,2
260.7167,2
260.7333,2
260.75,2
260.7667,2
260.7833,2
260.8,2
260.8167,2
260.8333,2
260.85,2
260.8667,2
260.8833,2
260.9,2
260.9167,2
260.9333,2
260.95,2
260.9667,2
260.9833,2
261,2
261.0167,2
261.0333,2
261.05,2
261.0667,2
261.0833,2
261.1,2
261.1167,2
261.1333,2
261.15,2
261.1667,2
261.1833,2
261.2,2
261.2167,2
261.2333,2
261.25,2
261.2667,2
261.2833,2
261.3,2
261.3167,2
261.3333,2
261.35,2
261.3667,2
261.3833,2
261.4,2
261.4167,2
261.4333,2
261.45,2
261.4667,2
261.4833,2
261.5,2
261.5167,2
261.5333,2
261.55,2
261.5667,2
261.5833,2
261.6,2
261.6167,2
261.6333,2
261.65,2
261.6667,2
261.6833,2
261.7,2
261.7167,2
261.7333,2
261.75,2
261.7667,2
261.7833,2
261.8,2
261.8167,2
261.8333,2
261.85,2
261.8667,2
261.8833,2
261.9,2
261.9167,2
261.9333,2
261.95,2
261.9667,2
261.9833,2
262,2
262.0167,2
262.0333,2
262.05,2
262.0667,2
262.0833,2
262.1,2
262.1167,2
262.1333,2
262.15,2
262.1667,2
262.1833,2
262.2,2
262.2167,2
262.2333,2
262.25,2
262.2667,2
262.2833,2
262.3,2
262.3167,2
262.3333,2
262.35,2
262.3667,2
262.3833,2
262.4,2
262.4167,2
262.4333,2
262.45,2
262.4667,2
262.4833,2
262.5,2
262.5167,2
262.5333,2
262.55,2
262.5667,2
262.5833,2
262.6,2
262.6167,2
262.6333,2
262.65,2
262.6667,2
262.6833,2
262.7,2
262.7167,2
262.7333,2
262.75,2
262.7667,2
262.7833,2
262.8,2
262.8167,2
262.8333,2
262.85,2
262.8667,2
262.8833,2
262.9,2
262.9167,2
262.9333,2
262.95,2
262.9667,2
262.9833,2
263,2
263.0167,2
263.0333,2
263.05,2
263.0667,2
263.0833,2
263.1,2
263.1167,2
263.1333,2
263.15,2
263.1667,2
263.1833,2
263.2,2
263.2167,2
263.2333,2
263.25,2
263.2667,2
263.2833,2
263.3,2
263.3167,2
263.3333,2
263.35,2
263.3667,2
263.3833,2
263.4,2
263.4167,2
263.4333,2
263.45,2
263.4667,2
263.4833,2
263.5,2
263.5167,2
263.5333,2
263.55,2
263.5667,2
263.5833,2
263.6,2
263.6167,2
263.6333,2
263.65,2
263.6667,2
263.6833,2
263.7,2
263.7167,2
263.7333,2
263.75,2
263.7667,2
263.7833,2
263.8,2
263.8167,2
263.8333,2
263.85,2
263.8667,2
263.8833,2
263.9,2
263.9167,2
263.9333,2
263.95,2
263.9667,2
263.9833,2
264,2
264.0167,2
264.0333,1.997256
264.05,1.994513
264.0667,1.994513
264.0833,1.989026
264.1,1.978052
264.1167,1.964335
264.1333,1.953361
264.15,1.9369
264.1667,1.923182
264.1833,1.909465
264.2,1.903978
264.2167,1.890261
264.2333,1.879287
264.25,1.868313
264.2667,1.865569
264.2833,1.860082
264.3,1.851852
264.3167,1.840878
264.3333,1.832647
264.35,1.816186
264.3667,1.805212
264.3833,1.794238
264.4,1.791495
264.4167,1.783265
264.4333,1.780521
264.45,1.775034
264.4667,1.77229
264.4833,1.766804
264.5,1.758573
264.5167,1.750343
264.5333,1.747599
264.55,1.733882
264.5667,1.722908
264.5833,1.70919
264.6,1.69273
264.6167,1.681756
264.6333,1.657064
264.65,1.632373
264.6667,1.618656
264.6833,1.58299
264.7,1.552812
264.7167,1.514403
264.7333,1.500686
264.75,1.467764
264.7667,1.437585
264.7833,1.412894
264.8,1.388203
264.8167,1.377229
264.8333,1.355281
264.85,1.333333
264.8667,1.322359
264.8833,1.297668
264.9,1.272976
264.9167,1.251029
264.9333,1.237311
264.95,1.215363
264.9667,1.196159
264.9833,1.179698
265,1.163237
265.0167,1.155007
265.0333,1.135802
265.05,1.119341
265.0667,1.111111
265.0833,1.09465
265.1,1.075446
265.1167,1.061728
265.1333,1.056241
265.15,1.048011
265.1667,1.037037
265.1833,1.03155
265.2,1.026063
265.2167,1.020576
265.2333,1.015089
265.25,1.012345
265.2667,1.009602
265.2833,1.009602
265.3,1.006858
265.3167,1.004115
265.3333,1.001371
265.35,0.998628
265.3667,0.998628
265.3833,0.9958844
265.4,0.9958844
265.4167,0.9958844
265.4333,0.9958844
265.45,0.9958844
265.4667,0.9958844
265.4833,1.004115
265.5,1.009602
265.5167,1.012345
265.5333,1.015089
265.55,1.015089
265.5667,1.017832
265.5833,1.017832
265.6,1.017832
265.6167,1.020576
265.6333,1.020576
265.65,1.023319
265.6667,1.023319
265.6833,1.026063
265.7,1.026063
265.7167,1.026063
265.7333,1.026063
265.75,1.028806
265.7667,1.028806
265.7833,1.028806
265.8,1.028806
265.8167,1.03155
265.8333,1.03155
265.85,1.03155
265.8667,1.03155
265.8833,1.03155
265.9,1.03155
265.9167,1.03155
265.9333,1.03155
265.95,1.03155
265.9667,1.03155
265.9833,1.03155
266,1.03155
266.0167,1.03155
266.0333,1.03155
266.05,1.03155
266.0667,1.03155
266.0833,1.03155
266.1,1.034293
266.1167,1.034293
266.1333,1.034293
266.15,1.034293
266.1667,1.034293
266.1833,1.034293
266.2,1.034293
266.2167,1.034293
266.2333,1.034293
266.25,1.034293
266.2667,1.034293
266.2833,1.034293
266.3,1.034293
266.3167,1.034293
266.3333,1.034293
266.35,1.034293
266.3667,1.034293
266.3833,1.034293
266.4,1.034293
266.4167,1.034293
266.4333,1.034293
266.45,1.034293
266.4667,1.034293
266.4833,1.034293
266.5,1.034293
266.5167,1.034293
266.5333,1.034293
266.55,1.034293
266.5667,1.034293
266.5833,1.034293
266.6,1.034293
266.6167,1.034293
266.6333,1.034293
266.65,1.034293
266.6667,1.034293
266.6833,1.034293
266.7,1.034293
266.7167,1.034293
266.7333,1.034293
266.75,1.034293
266.7667,1.034293
266.7833,1.034293
266.8,1.034293
266.8167,1.034293
266.8333,1.034293
266.85,1.034293
266.8667,1.034293
266.8833,1.034293
266.9,1.034293
266.9167,1.034293
266.9333,1.034293
266.95,1.034293
266.9667,1.034293
266.9833,1.034293
267,1.034293
267.0167,1.034293
267.0333,1.034293
267.05,1.034293
267.0667,1.034293
267.0833,1.034293
267.1,1.034293
267.1167,1.034293
267.1333,1.034293
267.15,1.034293
267.1667,1.034293
267.1833,1.034293
267.2,1.034293
267.2167,1.034293
267.2333,1.034293
267.25,1.034293
267.2667,1.034293
267.2833,1.034293
267.3,1.034293
267.3167,1.034293
267.3333,1.034293
267.35,1.034293
267.3667,1.034293
267.3833,1.034293
267.4,1.034293
267.4167,1.034293
267.4333,1.034293
267.45,1.034293
267.4667,1.034293
267.4833,1.034293
267.5,1.034293
267.5167,1.034293
267.5333,1.034293
267.55,1.034293
267.5667,1.034293
267.5833,1.034293
267.6,1.034293
267.6167,1.034293
267.6333,1.034293
267.65,1.034293
267.6667,1.034293
267.6833,1.034293
267.7,1.034293
267.7167,1.034293
267.7333,1.034293
267.75,1.034293
267.7667,1.034293
267.7833,1.034293
267.8,1.034293
267.8167,1.034293
267.8333,1.034293
267.85,1.034293
